#|20260220|17991
530830175|20251121||ACTIVE|||CIB||||||||||Redgrave Services (Pvt) Ltd|||||||||South Africa|||||||2025-11-21 23:59:59.999|
543675072|20250903||ACTIVE|||CIB||||||||||Abcon Grip Pty Ltd|||||||||South Africa||||||||
504535843|20250910||ACTIVE|||CIB||||||||||Calgro M3 Holdings|||||||||South Africa||||||||
100061606|20251125||ACTIVE|||CIB||||||||||Sasfin Bank Ltd.|||||||||South Africa|||||||2025-11-25 23:59:59.999|
530860248|20250729||ACTIVE|||CIB||||||||||UMS METS SA (Pty) Ltd.|||||||||South Africa||||||||
100103522|20010101||ACTIVE|||CIB||||||||||Hive Connect (Pty) Ltd.|||||||||||||||||
543652555|20250821||ACTIVE|||CIB||||||||||NEPTUNE INVESTMENTS|||||||||South Africa||||||||
522439087|20250729||ACTIVE|||CIB||||||||||Comit Technologies (Pty) Ltd.|||||||||South Africa||||||||
505754140|20251125||ACTIVE|||CIB||||||||||Vodacom Payment Services (Pty) Ltd.|||||||||South Africa|||||||2025-11-25 23:59:59.999|
503311420|20250729||ACTIVE|||CIB||||||||||Momentum Finance (Pty) Ltd.|||||||||South Africa||||||||
543550644|20250729||ACTIVE|||CIB||||||||||SBSA ITF INVESTEC BC|||||||||South Africa||||||||
100062694|20010101||ACTIVE|||CIB||||||||||Stephan Rock Lobster Packers Ltd.|||||||||||||||||
302602872|20250414||ACTIVE|||CIB||||||||||ALEXANDER FORBES LIFE-HYDE PARK AUTO PROVIDENT|||||||||South Africa||||||||
535137030|20250729||ACTIVE|||CIB||||||||||Alstom Ubunye (Pty) Ltd.|||||||||South Africa||||||||
357204992|20010101||ACTIVE|||CIB||||||||||PANALUX SA PTY LTD|||||||||South Africa||||||||
302902586|20010101||ACTIVE|||CIB||||||||||S A HOSE AND BELTING KZN PTY|||||||||South Africa||||||||
453979798|20250414||ACTIVE|||CIB||||||||||SBIB-HEAD OFFICE SALARIES ACC|||||||||South Africa||||||||
535607908|20190226||ACTIVE|||CIB||||||||||Voltafrica (Pty) Ltd.||||||Cape Town|||South Africa||||||||
534402892|20251201||ACTIVE|||CIB||||||||||||||||||||||||||2025-12-01 23:59:59.999|
532356321|20010101||ACTIVE|||CIB||||||||||Carab Technologies (Pty) Ltd.|||||||||||||||||
506152908|20251205||ACTIVE|||CIB||||||||||Bayport Financial Services 2010 (Pty) Lt d.|||||||||South Africa|||||||2025-12-05 23:59:59.999|
535210131|20250723||ACTIVE|||CIB||||||||||AFGRI EQUIPMENT|540106209||||||||||||||||
543261133|20250725||ACTIVE|||CIB||||||||||Helfin Ci Income Fund of Funds|||||||||South Africa||||||||
505535832|20250723||ACTIVE|||CIB||||||||||SOCIAL SECURITY COMM|550086917||||||||||||||||
535198951|20181004||ACTIVE|||CIB||||||||||Cigenco SA (Pty) Ltd.||||||Johannesburg|2079||South Africa||||||||
513916808|20251201||ACTIVE|||CIB||||||||||||||||||||||||||2025-12-01 23:59:59.999|
522438883|20251205||ACTIVE|||CIB||||||||||CCS Outsourcing (Pty) Ltd.|||||||||South Africa|||||||2025-12-05 23:59:59.999|
